context_code,response_code,context_type,context,response,sarcasm_ev1,sarcasm_ev2,sarcasm_ev3,mustard_id
10F,R1,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I didn't feel good so I wasn't exactly doing anything.""",2,1,2,583
10F,R1,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: I didn't feel good so I wasn't exactly doing anything.,0,1,2,583
10F,R1,none,,John: I didn't feel good so I wasn't exactly doing anything.,0,0,0,583
10F,R10,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""Don't know but I was sick about three times.""",1,1,0,583
10F,R10,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: Don't know but I was sick about three times.,0,0,0,583
10F,R10,none,,John: Don't know but I was sick about three times.,1,0,3,583
10F,R11,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""Not sure, maybe we happened to be up at different times.""",1,0,0,583
10F,R11,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?","John: Not sure, maybe we happened to be up at different times.",2,0,1,583
10F,R11,none,,"John: Not sure, maybe we happened to be up at different times.",2,2,1,583
10F,R12,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I just stayed in bed all night.""",4,3,2,583
10F,R12,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: I just stayed in bed all night.,2,4,1,583
10F,R12,none,,John: I just stayed in bed all night.,3,2,2,583
10F,R13,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""I kept a bucket next to my bed in case I couldn't get up in time.""",0,0,1,583
10F,R13,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: I kept a bucket next to my bed in case I couldn't get up in time.,3,5,0,583
10F,R13,none,,John: I kept a bucket next to my bed in case I couldn't get up in time.,2,3,4,583
10F,R14,none,"Last night, John took his roommate Riley out for dinner because she had complained to him that she hadn’t been on a date for too long. John had such a wonderful time with her and now he is wondering if he might have feelings for her. Riley comes to John and asks if he felt a little weird after the date. He immediately thinks she felt the same, so he says, ""Oh my god, you did too? What was that?!"" Riley says ""Yeah, I mean I was up sick all night. Maybe it was the lobster."" Disappointed, John says, ""Yeah me too, all night."" And then she says, ""Really?! How come we didn't cross paths?""","John says, ""Our paths seem to be distant.""",1,1,2,583
10F,R14,none,"Riley: Yeah, I mean I was up sick all night. Maybe it was the lobster.  John: Yeah me too, all night.  Riley: Really?! How come we didn't cross paths?",John: Our paths seem to be distant.,4,4,3,583
10F,R14,none,,John: Our paths seem to be distant.,1,3,3,583
